uniqueId,id,category,desc,checkbrand,price,brand,gender,size,product,collection,style,lenscolour,diamondcaratage,diamondclarity,diamondcolor,goldkaratage,materialcolour,occasion,productype,stonecaratage,stonetype,usageoccasion,discounts,discountprice,offers,cfaproductcode,themedesign,totalnumberofstones,uksize,materialcode,shape,description,designername,pricinggrouptype,goldpurity,JewelleryType,StoneCombination,FindingType,Height,Width,imageurl,largeimageurl,product_url,operationType,Property 1,Property 2
500006FEARAA02_2JA000253,500006FEARAA02_2JA000253,Jewellery,Tanishq-18KT-Yellow-Gold-Diamond-Finger-Ring-with-Bypass-Design,Tanishq,20621,Tanishq,Women,R,Finger Ring,Diamond Treats,,WHITE,0.119,SI2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.103,DIAMOND,DAILY WEAR,10 Percent On UCP,18613,Offers,72,0006FEA,9,R,J,ROUND,,VENKATESH,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500006FEARAA02.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500006FEARAA02.jpg,https://shop.tanishq.co.in/control/product?product_id=500006FEARAA02_2JA000253,update,Products,titanFeed
500006FEARAA02_3IH000382,500006FEARAA02_3IH000382,Jewellery,18KT-Yellow-Gold-Diamond-Bypass-Finger-Ring,Tanishq,21002,Tanishq,NA,R,Finger Ring,PRETTY,,WHITE,0.119,SI2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.104,DIAMOND,DAILY WEAR,10 Percent On UCP,18957,Offers,72,0006FEA,9,R,J,ROUND,0006FEA - FINGER RING,0,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500006FEARAA02.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500006FEARAA02.jpg,https://shop.tanishq.co.in/control/product?product_id=500006FEARAA02_3IH000382,update,Products,titanFeed
500009SXAABA12_2JA000728,500009SXAABA12_2JA000728,Jewellery,18KT-Ruby-Floral-Studs,Tanishq,22527,Tanishq,NA,A,Earring,NAVARATHNA,Stud,WHITE,0,NA,NA,18KT,Yellow Metal,Free Gold Coin,STUDDED,0,RUBY,DAILY WEAR HOME,10 Percent On Making Charges,22008,Offers,78,0009SXA,18,,J,NA,0009SXA - STUD EARRING,SEN,GOLDSTUDDED,18KT,Color Stones and Pearls,PRE-COL,Bombay Screw,9.82 mm,9.82 mm,https://staticimg.titan.co.in/production/India/Tanishq/small/500009SXAABA12.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500009SXAABA12.jpg,https://shop.tanishq.co.in/control/product?product_id=500009SXAABA12_2JA000728,update,Products,titanFeed
500013FCALAA04_2BA000228,500013FCALAA04_2BA000228,Jewellery,0013FCA - FINGER RING,Tanishq,28747,Tanishq,NA,L,Finger Ring,New Best Seller,,WHITE,0.093,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.09,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,16922,Offers,72,0013FCA,9,L,J,ROUND,0013FCA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FCALAA04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FCALAA04.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FCALAA04_2BA000228,update,Products,titanFeed
500013FCALAA04_2BA000238,500013FCALAA04_2BA000238,Jewellery,0013FCA - FINGER RING,Tanishq,12579,Tanishq,NA,L,Finger Ring,New Best Seller,,WHITE,0.093,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.085,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,17673,Offers,72,0013FCA,9,L,J,ROUND,0013FCA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FCALAA04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FCALAA04.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FCALAA04_2BA000238,update,Products,titanFeed
500013FCALAA04_2BA000240,500013FCALAA04_2BA000240,Jewellery,0013FCA - FINGER RING,Tanishq,19612,Tanishq,NA,L,Finger Ring,New Best Seller,,WHITE,0.093,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.085,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,17702,Offers,72,0013FCA,9,L,J,ROUND,0013FCA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FCALAA04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FCALAA04.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FCALAA04_2BA000240,update,,titanFeed
500013FCALAA04_2BA000241,500013FCALAA04_2BA000241,Jewellery,0013FCA - FINGER RING,Tanishq,19935,Tanishq,NA,L,Finger Ring,New Best Seller,,WHITE,0.093,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.085,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,17994,Offers,72,0013FCA,9,L,J,ROUND,0013FCA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,Diamond Jewellery,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FCALAA04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FCALAA04.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FCALAA04_2BA000241,update,,titanFeed
500013FEANAA09_3IA000071,500013FEANAA09_3IA000071,Jewellery,0013FEA - FINGER RING,Tanishq,19505,Tanishq,NA,N,Finger Ring,Diamond Treats,,WHITE,0.14,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.151,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,17606,Offers,72,0013FEA,13,,J,ROUND,0013FEA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FEANAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FEANAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FEANAA09_3IA000071,update,,titanFeed
500013FEANAA09_3IA000075,500013FEANAA09_3IA000075,Jewellery,0013FEA - FINGER RING,Tanishq,17811,Tanishq,NA,N,Finger Ring,Diamond Treats,,WHITE,0.14,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.124,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,16077,Offers,72,0013FEA,13,,J,ROUND,0013FEA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FEANAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FEANAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FEANAA09_3IA000075,update,,titanFeed
500013FEANAA09_3IA000076,500013FEANAA09_3IA000076,Jewellery,0013FEA - FINGER RING,Tanishq,18628,Tanishq,NA,N,Finger Ring,Diamond Treats,,WHITE,0.14,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.138,DIAMOND,DAILY WEAR HOME,10 Percent On UCP,16814,Offers,72,0013FEA,13,,J,ROUND,0013FEA - FINGER RING,KRITI JAIN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500013FEANAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500013FEANAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500013FEANAA09_3IA000076,update,,titanFeed
